Date,Close,High,Low,Open,Volume
2007-01-03,2.5218446254730225,2.6055051770670605,2.4646668584912197,2.5967780304663908,1238319600
2007-01-04,2.577817440032959,2.586544379700778,2.5224445658685664,2.529366652268068,847260400
2007-01-05,2.5594613552093506,2.594068793049417,2.539900865308698,2.581128646843546,834741600
2007-01-08,2.5720996856689453,2.603998824299469,2.5663815706016804,2.5868454835798205,797106800
2007-01-09,2.785764455795288,2.79810291431467,2.5624698370713825,2.6015920139140705,3349298400
2007-01-10,2.919079542160034,2.9431539689263073,2.8122470258555996,2.8513689989451287,2952880000
2007-01-11,2.8829667568206787,2.912458552888738,2.8619013603975723,2.887179956643155,1440252800
2007-01-12,2.8474557399749756,2.860696619815764,2.805625496477286,2.846552308931506,1312690400
2007-01-16,2.9220869541168213,2.9266008943947686,2.872433209266685,2.8793544906079034,1244076400
2007-01-17,2.857386350631714,2.937134388966953,2.853474897601348,2.9359312203897128,1646260000
2007-01-18,2.6804373264312744,2.771922381042568,2.6798356413949955,2.7716214380761754,2364605600
2007-01-19,2.663283109664917,2.6978913386051007,2.651847883364746,2.667195567847237,1364473600
2007-01-22,2.611823320388794,2.6831453693310827,2.5775168400828727,2.682542880943763,1454026000
2007-01-23,2.579021453857422,2.633490914758089,2.573304342198484,2.5799246843732204,1207424400
2007-01-24,2.6091160774230957,2.6226577064074803,2.590457815667099,2.608513588841602,927813600
2007-01-25,2.5955722332000732,2.6632825563985913,2.588951692372675,2.621452510898412,905973600
2007-01-26,2.5693914890289307,2.629277511279656,2.557654717433622,2.621452996882784,986874000
2007-01-29,2.5862438678741455,2.607610206523877,2.573905211607969,2.597077408168682,901664400
2007-01-30,2.5745062828063965,2.602794701729536,2.565478401678018,2.600989045145312,577970400
2007-01-31,2.5799245834350586,2.5880500416229317,2.538395267393989,2.5537427523928162,856069200
2007-02-01,2.5501315593719482,2.5961740056847287,2.5501315593719482,2.594970837017638,664342000
2007-02-02,2.5504326820373535,2.565479222363429,2.5188342843943583,2.5314736836308436,621530000
2007-02-05,2.5260562896728516,2.564877513454416,2.5260562896728516,2.5368898299007787,578852400
2007-02-06,2.532376289367676,2.5420066624744795,2.4935558630233827,2.5414041740219835,864393600
2007-02-07,2.5925636291503906,2.5994849130141877,2.5143202950125487,2.542307176908101,1066825200
2007-02-08,2.5934650897979736,2.603396200301449,2.5702931013122696,2.570894585004615,679030800
2007-02-09,2.5058939456939697,2.5940675851611106,2.5040882886744353,2.5844380170795196,860540800
2007-02-12,2.554344892501831,2.5633727763530674,2.516727638340711,2.5408022631392497,724071600
2007-02-13,2.5489277839660645,2.566682609257771,2.5368900694728755,2.5627711556332318,580986000
2007-02-14,2.5669846534729004,2.5772159091938915,2.545015820255156,2.546821678676378,507981600
2007-02-15,2.564274787902832,2.5766132420554246,2.5513346490344926,2.5711968742353086,363661200
2007-02-16,2.552839756011963,2.570293837388072,2.5477233261310137,2.565478953025079,399868000
2007-02-20,2.5850400924682617,2.5928646074018995,2.532677035471553,2.5474230357961893,617702400
2007-02-21,2.6843483448028564,2.693075285003309,2.586845279496973,2.5874469642552684,1155313600
2007-02-22,2.6936779022216797,2.7327990653745506,2.6641863073156213,2.7324983234292213,838224800
2007-02-23,2.6804373264312744,2.7186568822666257,2.673816782067144,2.6831464158183262,517893600
2007-02-26,2.6635854244232178,2.7084255330789495,2.6365017577193024,2.7036098420189743,615848800
2007-02-27,2.525756359100342,2.6205511799128667,2.510108129051261,2.597078433046249,1145813200
2007-02-28,2.5462188720703125,2.576011404518506,2.4977682885452768,2.4977682885452768,919475200
2007-03-01,2.6199498176574707,2.6575668851362266,2.5203393022499774,2.528765504471982,1415528800
2007-03-02,2.5702943801879883,2.6343942117585097,2.5642755223426543,2.611222010846888,860000400
2007-03-05,2.5976791381835938,2.6677970174918317,2.5808267395770446,2.5847391977090637,838899600
2007-03-06,2.6539549827575684,2.6575664987512155,2.630181295287123,2.642218208691771,723186800
2007-03-07,2.6398110389709473,2.677428103442649,2.6316855794704908,2.6497421561381715,626284400
2007-03-08,2.6482365131378174,2.6699035956018484,2.631985598600485,2.6659921419841623,511011200
2007-03-09,2.647334337234497,2.6738161062041854,2.630180994278999,2.672311994441937,451836000
2007-03-12,2.704512119293213,2.708123635194124,2.647936056269191,2.65034339870901,729408400
2007-03-13,2.660273313522339,2.7264787114059006,2.660273313522339,2.6906673267421835,867890800
